,price,address,beds,reception,bathrooms,contact_number
190,"£230,000","Cherrydown East, Basildon, Essex SS16",2,1,2,
191,"£240,000","Alexander Road, Langdon Hills, Basildon, Essex SS16",2,1,1,
192,"£180,000","Pitsea, Basildon, Essex SS13",2,1,1,
193,"£425,000","Eisenhower Road, Basildon, Essex SS15",4,2,1,
194,"£281,000","Eisenhower Road, Basildon, Essex SS15",4,2,1,
195,"£375,000","Warwick Crescent, Basildon SS15",3,1,3,
196,"£189,000","Copperfields, Laindon, Essex SS15",,,,
197,"£140,000","South Crockerford, Vange, Basildon SS16",1,1,1,
198,"£350,000","Montague Street, Basildon, Essex SS14",3,2,1,
199,"£350,000","Basildon, Essex, United Kingdom SS14",,,,
200,"£275,000","Long Acre, Basildon, Essex SS14",3,1,1,
201,"£280,000","Abrahams Close, Basildon SS14",2,1,2,
202,"£300,000","Gobions, Basildon, Essex SS16",3,2,1,
203,"£320,000","Britten Avenue, Basildon SS14",2,1,3,
204,"£375,000","Cumberland Drive, Laindon, Basildon SS15",3,1,1,
205,"£400,000","Bruton Link, Basildon SS15",3,1,2,
206,"£290,000","Ayletts, Basildon SS14",3,1,1,
207,"£315,000","Blackthorn Court, Langdon Hills, Basildon SS16",2,1,1,
208,"£325,000","Abrahams Close, Basildon SS14",2,1,3,
209,"£275,000","Rosecroft Close, Langdon Hills, Basildon, Essex SS16",,,,
210,"£375,000","Abingdon Close, Basildon SS15",3,1,2,
211,"£275,000","Driftway, Basildon, Essex SS16",4,1,1,
212,"£270,000","Buckingham Road, Laindon, Essex SS15",2,1,1,
213,"£668,995F","""Harrogate"" at Little Malgraves Industrial Estate, Lower Dunton Road, Bulphan, Upminster RM14",,,,
214,"£260,000","Beambridge Place, Basildon SS13",3,1,1,
215,"£225,000","Cherrydown East, Basildon, Essex SS16",,,,
216,"£260,000","Buckerills, Basildon, Essex SS13",,,,
217,"£350,000","Gun Hill Place, Woodlands Estate, Kingswood SS16",4,1,1,
218,"£400,000","Sparrows Herne, Basildon, Essex SS16",4,1,1,
219,"£210,000","Southernhay Close, Basildon SS14",2,1,1,
