,price,address,beds,reception,bathrooms,contact_number
314,"£219,950","Alan Road, Withington, Manchester M20",2,1,2,
315,"£260,000","Newton Road, Failsworth, Manchester M35",4,1,1,
316,"£251,995","""The Portland"" at Edge Lane, Droylsden, Manchester M43",3,2,2,
317,"£251,995","""The Portland"" at Edge Lane, Droylsden, Manchester M43",3,2,2,
318,"£220,000","Marlborough Road, Stretford, Manchester M32",3,2,1,
319,"£300,000","Murray's Mills, Manchester M4",2,1,2,
320,"£225,000","Belmont Street, Monton, Manchester M30",2,2,1,
321,"£199,950","X1 Media City Tower 2, Michigan Avenue, Salford, Greater Manchester M50",2,1,2,
322,"£245,234","Water Street, Manchester M3",2,1,2,
323,"£235,000","Water Street, Manchester M3",2,1,2,
324,"£450,000","Castlefield Avenue, Salford M7",4,2,1,
325,"£199,995","Number One Pink, Media City, Salford M50",2,1,2,
326,"£150,000","Shakespeare Crescent, Eccles, Manchester M30",3,2,2,
327,"£250,000","Gloucester Road, Salford M6",3,2,2,
328,"£295,000","Atherstone Avenue, Crumpsall, Manchester M8",6,3,2,
329,"£1,263,158","Crown Street, Manchester M15",3,1,1,
330,"£1,368,421","Crown Street, Manchester M15",3,1,1,
331,"£527,139","Embankment West, Manchester M3",3,1,1,
332,"£608,907","Crown Street, Manchester M15",2,1,1,
333,"£240,000","Larks Rise, Manchester M43",3,1,1,
334,"£129,950","Lumb Lane, Droylsden, Manchester M43",2,1,1,
335,"£385,000","Axis Tower, Whitworth Street West, Manchester M1",2,1,1,
336,"£279,950","Middleton Road, Crumpsall, Manchester M8",3,3,2,
337,"£4,000","Demesne Road, Whalley Range, Manchester M16",1,1,,
338,"£145,000","Claremont Road, Salford, Greater Manchester M6",3,2,1,
339,"£324,950","Store Street, Manchester M1",2,,2,
340,"£66,500","Jersey Street, Manchester M4",2,,,
341,"£190,000","Jersey Street, Manchester M4",2,,,
342,"£325,000","Borrowdale Crescent, West Didsbury, Didsbury, Manchester M20",3,2,1,
343,"£200,000","Hornbeam Way, Manchester, Greater Manchester M4",2,1,1,
344,"£220,000","Edgeware Avenue, Manchester M25",3,1,1,
345,"£260,000","The Wentwood, Newton Street, Manchester M1",2,1,2,
346,"£175,000","115 Great Clowes Street, Salford, Greater Manchester M7",3,,,
347,"£145,000","Barton Place, Hornbeam Way, Manchester M4",1,1,1,
348,"£235,000","Castleway, Salford M6",3,2,1,
349,"£420,000","Wellington Street East, Salford M7",4,,1,
350,"£200,000","Oakwood Drive, Salford M6",3,2,1,
351,"£220,000","Islington Wharf, 151 Great Ancoats Street, Manchester, Greater Manchester M4",2,1,2,
352,"£230,000","1 Kelso Place, Manchester M15",2,1,2,
353,"£270,000","Norleigh Road, Manchester M22",3,1,1,
354,"£90,000","Edge Lane, Chorlton, Manchester, Greater Manchester M32",1,1,1,
355,"£650,000","Alexandra Road South, Whalley Range, Manchester, Greater Manchester M16",5,3,3,
356,"£300,000","Glen Avenue, Worsley, Manchester M28",3,3,1,
357,"£400,000","Patterson Avenue, Chorlton Cum Hardy, Manchester M21",3,2,1,
358,"£230,000","Thornleigh Road, Manchester, Greater Manchester M14",3,1,2,
359,"£850,000","Hesketh Avenue, Didsbury, Manchester M20",4,,3,
360,"£150,000","Wilbraham Road, Fallowfield, Manchester M14",2,1,2,
361,"£230,000","Holden Drive, Pendlebury, Swinton, Manchester M27",3,1,3,
362,"£285,000","Stanley Avenue North, Prestwich, Manchester M25",3,1,1,
363,"£365,000","Rye Bank Road, Firswood, Manchester M16",5,1,3,
364,"£165,000","Manor Road, Swinton, Manchester M27",3,2,1,
365,"£155,000","Parrs Wood Road, Didsbury, Manchester M20",2,,1,
366,"£135,000","Moston Lane, Moston, Manchester M40",3,2,1,
367,"£450,000","Springbridge Road, Manchester M16",4,2,1,
368,"£255,000","Mount Drive, Urmston, Trafford M41",3,2,1,
369,"£350,000","Castlefield Avenue, Salford M7",3,1,1,
370,"£170,000","Broadway, Manchester M40",3,2,2,
371,"£195,000","Ludgate Street, Manchester M4",1,1,1,
372,"£250,000","Ludgate Street, Manchester M4",2,1,2,
373,"£294,995","""Duco"" at Talbot Road, Stretford, Manchester M32",3,2,2,
374,"£304,995","""Duco"" at Talbot Road, Stretford, Manchester M32",3,2,2,
375,"£140,000","Ordsall Lane, Salford M5",2,1,1,
376,"£190,000","Inchfield Road, Moston, Manchester, Greater Manchester M40",3,2,1,
377,"£300,000F","Folly Lane, Swinton, Manchester M27",3,1,1,
378,"£310,000","Olympia Trading Estate, Great Jackson Street, Manchester M15",2,1,1,
379,"£241,995","""The Windsor"" at Blossom Way, Salford M6",3,2,2,
380,"£195,995","""Type K Apartment First Floor"" at Talbot Road, Stretford, Manchester M32",2,1,2,
381,"£240,000","Doncaster Avenue, Manchester, Greater Manchester, Uk M20",3,2,1,
382,"£250,000","Advent Way, Manchester M4",2,1,2,
383,"£550,000","Butt Hill Avenue, Prestwich, Prestwich Manchester M25",4,2,2,
384,"£220,000","Kilcoby Avenue, Swinton, Manchester M27",4,2,3,
385,"£280,000","Slade Lane, Longsight, Manchester M13",3,2,2,
386,"£350,000","Winster Avenue, Stretford, Manchester M32",4,2,2,
387,"£100,000","Water Street, Manchester M9",3,2,1,
388,"£180,000","Bolton Road, Salford M6",3,2,1,
389,"£290,000","Leach Mews, Prestwich, Prestwich Manchester M25",4,2,2,
390,"£90,000","Ventnor Street, Salford, Greater Manchester M6",2,2,1,
391,"£220,000","Calder Lane, Eccles, Manchester M30",3,1,2,
392,"£130,000","New Herbert Street, Salford M6",2,2,1,
393,"£145,000","Claremont Road, Salford, Greater Manchester M6",3,2,1,
394,"£320,000","Peveril Crescent, Chorlton Cum Hardy, Greater Manchester M21",3,1,1,
395,"£145,591","Carnaby Street, Worrall Street, Salford M5",1,1,1,
396,"£206,825","Carnaby Street, Worrall Street, Salford M5",2,1,1,
397,"£261,927","Carnaby Street, Worrall Street, Salford M5",3,1,1,
398,"£230,000","Russell Road, Salford M6",3,2,1,
399,"£3,000,000","Investment, Hmo Portfolio For Sale, Manchester M32",6,,2,
