,price,address,beds,reception,bathrooms,contact_number
362,"£245,000","Hindes Road, Harrow-On-The-Hill, Harrow HA1",1,1,1,
363,"£395,000","Stanswood Gardens, Camberwell SE5",4,2,1,
364,"£250,000","Oglethorpe Road, Dagenham RM10",3,1,1,
365,"£575,000","Colney Hatch Lane, Muswell Hill, London N10",2,1,,
366,"£425,000","Malcolm Road, Coulsdon, Surrey CR5",2,2,1,
367,"£175,200","Wolffe Gardens, London E15",1,1,1,
368,"£849,000","Rosler Building, Ewer Street, Southwark, London SE1",2,1,2,
369,"£525,000","Grove Green Road, London E11",2,,,
370,"£300,000","Brookmill Road, London SE8",1,1,1,
371,"£400,000","Station Parade, Balham High Road, London SW12",1,1,1,
372,"£499,000","Southgate Road, London N1",1,1,1,
373,"£599,999","Oakfied Road, Stroud Green N4",2,1,1,
374,"£800,000","Hazlebury Road, Fulham, London SW6",3,1,3,
375,"£1,175,000","Duncan Road, Richmond TW9",,,,
376,"£350,000","Bonfield Road, Lewisham, London SE13",1,1,1,
377,"£2,600,000","Pearson Square, Fitzroy Place W1T",2,1,2,
378,"£1,750,000","Marsh Lane, Mill Hill NW7",5,2,3,
379,"£410,000F","Upton Road, Bexleyheath DA6",3,2,1,
380,"£190,000","Crowden Way, London SE28",1,1,1,
381,"£895,000","Abbots House, Kensington, London W14",2,1,2,
382,"£475,000","Wraysbury Drive, Yiewsley, West Drayton UB7",3,1,2,
383,"£995,000","Broomwood Road, London SW11",3,1,3,
384,"£350,000","William Smith House, Ireton Street E3",1,,1,
385,"£525,000","Crutchley Road, London SE6",3,2,1,
386,"£2,695,000","Irene Road, Fulham SW6",5,2,3,
387,"£850,000","Woodstock Road, London W4",1,1,1,
388,"£995,000","Bellamy Street, London SW12",3,,,
389,"£450,000","Birkenhead Avenue, Kingston Upon Thames KT2",2,1,1,
390,"£585,000","Arnold Gardens, Palmers Green N13",3,2,1,
391,"£775,000","Jennys Way, Coulsdon, Surrey CR5",5,3,3,
392,"£875,000","Norfolk House Road, Streatham, London, London SW16",5,2,2,
393,"£500,000","Farringdon Road, London, London EC1M",1,1,1,
394,"£525,000","Sprewell House, Lytton Grove, London SW15",3,1,,
395,"£395,000","Sandy Lane North, Wallington SM6",2,2,1,
396,"£750,000","Holford Way, London SW15",2,1,2,
397,"£2,950,000","Burnaby Street, London SW10",4,2,3,
398,"£439,995","Southbury Road, Enfield EN1",3,1,1,
399,"£335,000","Glebe Road, London N3",1,1,1,
400,"£279,950","Salisbury Road, High Barnet, Hertfordshire EN5",1,1,1,
401,"£620,000","Cedarwood Mansions, Deptford Landings, Deptford, London SE8",2,1,2,
402,"£295,000","Wellington Road, Hampton Hill, Hampton TW12",1,1,1,
403,"£440,000","Hurlstone Road, London SE25",3,2,1,
404,"£420,000","John Archer Way, London SW18",1,1,1,
405,"£475,000","Marlborough Road, London N19",2,1,1,
406,"£425,000F","Wellington Way, London E3",2,1,1,
407,"£585,000","Clock House Road, Beckenham BR3",3,2,1,
408,"£500,000","Waltham Road, Woodford Green IG8",3,1,1,
409,"£625,000","Dolphin Road, Northolt UB5",2,1,1,
410,"£550,000","Mutton Lane, Potters Bar, Herts EN6",3,1,1,
411,"£600,000","Studley Road, London E7",6,2,2,
412,"£400,000","Halefield Road, London N17",2,2,1,
413,"£300,000","Courier Court, 2 Guardian Avenue, London NW9",1,1,1,
414,"£685,000","Goodman Crescent, London SW2",3,2,2,
415,"£575,000","Fulford Road, West Ewell, Epsom KT19",4,2,2,
416,"£400,000","Overbury Crescent, New Addington, Croydon CR0",3,1,2,
417,"£595,000","Rosecroft Gardens, Twickenham TW2",4,2,2,
418,"£500,000","Clarence Way, London NW1",2,1,1,
419,"£575,000","Gleneagles, Stanmore HA7",3,1,2,
420,"£2,995,000","All Saints Road, Notting Hill, London W11",4,1,4,
421,"£5,450,000","Redcliffe Road, Chelsea SW10",6,4,4,
422,"£215,000","Heathdene Drive, Belvedere DA17",2,1,1,
423,"£475,000","Winchester Avenue, London NW6",1,1,1,
424,"£290,000","Regents Lodge, West Drayton UB7",1,1,1,
425,"£895,000","Sugden Road, London SW11",3,1,2,
426,"£550,000","Gyllyngdune Gardens, Ilford IG3",3,2,1,
427,"£585,000","The Old Ice Cream Works, Chatsworth Road, London E5",2,,1,
428,"£1,650,000","The Ridgeway, Enfield EN2",6,2,3,
429,"£550,000","Morley Road, North Cheam, Sutton SM3",4,1,1,
